Anglo-Saxon (ang)			العربية (ar)		
سنڌي (sd)		Azərbaycan (az)		
Български (bg)		বাংলা (bn)		
Català (ca)		Česky (cs)		
Deutsch (de)		Ελληνικά (el)		
English (en)		Esperanto (eo)		
Español (es)		فارسی (fa)		
Suomi (fi)		Français (fr)		
ગુજરાતી (gu)		עברית (he)		
हिन्दी (hi)		Bahasa Indonesia (id)			
मराठी (mr)		Italiano (it)		
日本語 (ja)		한국어 (ko)		
Latviešu (lv)		Lietuvių (lt)
Bahasa Melayu (ms)			Македонски (mk)			
مازِرونی (mzn)		नेपाल भाषा (new)		
ਪੰਜਾਬੀ (pa)		Polski (pl)		
پښتو (ps)		Português (pt)		
Română (ro)		Русский (ru)		
Svenska (sv)		தமிழ் (ta)		
ไทย (th)		Türkçe (tr)		
Українська (uk)		Tiếng Việt (vi)		
Yorùbá (yo)		中文 (zh)
